S21 dB20 X,S21 dB20 Y
10000000000,10.61397418820698
10100000000,10.5926803470698
10200000000,10.57129886799274
10300000000,10.54983101774644
10400000000,10.52827803376674
10500000000,10.50664112495189
10600000000,10.48492147248159
10700000000,10.46312023060253
10800000000,10.44123852738943
10900000000,10.41927746554054
11000000000,10.39723812309895
11100000000,10.37512155422167
11200000000,10.35292878987095
11300000000,10.3306608385571
11400000000,10.30831868699617
11500000000,10.28590330082402
11600000000,10.26341562522809
11700000000,10.24085658562369
11800000000,10.21822708826548
11900000000,10.19552802086759
12000000000,10.17276025321211
12100000000,10.14992463772107
12200000000,10.12702201003585
12300000000,10.10405318955664
12400000000,10.08101897999488
12500000000,10.0579201698819
12600000000,10.03475753307717
12700000000,10.01153182926403
12800000000,9.988243804419083
12900000000,9.964894191274741
13000000000,9.941483709760435
13100000000,9.91801306744563
13200000000,9.894482959941042
13300000000,9.870894071318583
13400000000,9.847247074477746
13500000000,9.82354263155079
13600000000,9.799781394236257
13700000000,9.77596400417214
13800000000,9.752091093262639
13900000000,9.728163283993631
14000000000,9.704181189777065
14100000000,9.680145415207505
14200000000,9.656056556394484
14300000000,9.63191520121163
14400000000,9.607721929593918
14500000000,9.583477313752404
14600000000,9.559181918473094
14700000000,9.534836301321359
14800000000,9.510441012863556
14900000000,9.485996596925681
15000000000,9.46150359076638
15100000000,9.436962525284248
15200000000,9.412373925227129
15300000000,9.387738309366327
15400000000,9.363056190666263
15500000000,9.338328076471768
15600000000,9.313554468649556
15700000000,9.288735863760731
15800000000,9.263872753194518
15900000000,9.238965623329022
16000000000,9.214014955638817
16100000000,9.189021226844376
16200000000,9.163984909032424
16300000000,9.138906469768902
16400000000,9.113786372207821
16500000000,9.088625075212418
16600000000,9.063423033439612
16700000000,9.038180697439186
16800000000,9.01289851376227
16900000000,8.987576925033625
17000000000,8.962216370036057
17100000000,8.936817283800202
17200000000,8.911380097658002
17300000000,8.8859052393484
17400000000,8.860393133052311
17500000000,8.834844199479441
17600000000,8.809258855910983
17700000000,8.783637516279118
17800000000,8.757980591213299
17900000000,8.732288488075232
18000000000,8.70656161104055
18100000000,8.680800361122733
18200000000,8.655005136220904
18300000000,8.629176331174301
18400000000,8.603314337788701
18500000000,8.577419544877751
18600000000,8.551492338304016
18700000000,8.525533101008495
18800000000,8.499542213039938
18900000000,8.473520051591583
19000000000,8.447466991026829
19100000000,8.421383402908805
19200000000,8.395269656015289
19300000000,8.369126116378757
19400000000,8.342953147298873
19500000000,8.316751109372113
19600000000,8.290520360495373
19700000000,8.264261255910284
19800000000,8.237974148198678
19900000000,8.211659387316583
20000000000,8.185317320597001
20100000000,8.158948292776278
20200000000,8.1325526460048
20300000000,8.106130719858429
20400000000,8.079682851352814
20500000000,8.053209374964069
20600000000,8.026710622626723
20700000000,8.000186923755253
20800000000,7.973638605245949
20900000000,7.947065991505038
21000000000,7.920469404434475
21100000000,7.893849163458654
21200000000,7.867205585528016
21300000000,7.840538985124248
21400000000,7.813849674276597
21500000000,7.787137962563988
21600000000,7.76040415712269
21700000000,7.733648562652123
21800000000,7.706871481431739
21900000000,7.680073213314936
22000000000,7.653254055746528
22100000000,7.626414303761207
22200000000,7.599554249996413
22300000000,7.572674184691413
22400000000,7.545774395706482
22500000000,7.518855168510648
22600000000,7.491916786203103
22700000000,7.464959529517516
22800000000,7.437983676814595
22900000000,7.410989504105247
23000000000,7.383977285042348
23100000000,7.356947290941327
23200000000,7.329899790766524
23300000000,7.30283505115721
23400000000,7.275753336418219
23500000000,7.248654908536257
23600000000,7.221540027178759
23700000000,7.194408949700142
23800000000,7.16726193115106
23900000000,7.140099224287394
24000000000,7.112921079562976
24100000000,7.085727745151667
24200000000,7.058519466938789
24300000000,7.031296488547656
24400000000,7.004059051319435
24500000000,6.976807394332751
24600000000,6.949541754423717
24700000000,6.922262366165516
24800000000,6.894969461891927
24900000000,6.867663271699386
25000000000,6.840344023456386
25100000000,6.813011942808362
25200000000,6.785667253177965
25300000000,6.758310175782509
25400000000,6.730940929639695
25500000000,6.703559731566155
25600000000,6.676166796191652
25700000000,6.648762335962242
25800000000,6.621346561154912
25900000000,6.593919679871462
26000000000,6.566481898065815
26100000000,6.539033419530301
26200000000,6.511574445913388
26300000000,6.484105176732329
26400000000,6.456625809370497
26500000000,6.429136539094868
26600000000,6.401637559052482
26700000000,6.37412906028888
26800000000,6.346611231755954
26900000000,6.319084260309253
27000000000,6.291548330724872
27100000000,6.264003625713173
27200000000,6.23645032590866
27300000000,6.208888609898824
27400000000,6.181318654220508
27500000000,6.15374063336689
27600000000,6.126154719807579
27700000000,6.098561083985892
27800000000,6.070959894333814
27900000000,6.043351317274865
28000000000,6.015735517241568
28100000000,5.98811265667286
28200000000,5.96048289603465
28300000000,5.932846393822315
28400000000,5.905203306568744
28500000000,5.877553788854154
28600000000,5.849897993319654
28700000000,5.822236070670099
28800000000,5.794568169688393
28900000000,5.76689443723658
29000000000,5.73921501827784
29100000000,5.711530055871306
29200000000,5.683839691190587
29300000000,5.656144063533213
29400000000,5.628443310321657
29500000000,5.600737567124061
29600000000,5.57302696765171
29700000000,5.545311643779107
29800000000,5.517591725541264
29900000000,5.489867341157285
30000000000,5.46213861703129
30100000000,5.434405677756535
30200000000,5.406668646139096
30300000000,5.378927643193204
30400000000,5.351182788160757
30500000000,5.323434198513549
30600000000,5.295681989963307
30700000000,5.267926276479789
30800000000,5.240167170288349
30900000000,5.212404781886983
31000000000,5.184639220049649
31100000000,5.156870591842919
31200000000,5.129099002630994
31300000000,5.101324556083125
31400000000,5.073547354185225
31500000000,5.045767497251706
31600000000,5.017985083932369
31700000000,4.990200211217536
31800000000,4.962412974453701
31900000000,4.934623467352268
32000000000,4.906831781992333
32100000000,4.879038008837692
32200000000,4.851242236739825
32300000000,4.823444552955971
32400000000,4.795645043142128
32500000000,4.767843791378438
32600000000,4.740040880172456
32700000000,4.7122363904664
32800000000,4.684430401643471
32900000000,4.656622991545919
33000000000,4.628814236479493
33100000000,4.601004211215463
33200000000,4.573192989010847
33300000000,4.545380641610645
33400000000,4.517567239257097
33500000000,4.489752850701191
33600000000,4.461937543209361
33700000000,4.434121382571643
33800000000,4.406304433111627
33900000000,4.378486757695018
34000000000,4.350668417741758
34100000000,4.322849473219482
34200000000,4.295029982677996
34300000000,4.267210003233198
34400000000,4.239389590589537
34500000000,4.211568799044739
34600000000,4.183747681495374
34700000000,4.155926289449835
34800000000,4.128104673032854
34900000000,4.100282880999147
35000000000,4.072460960733423
35100000000,4.044638958266137
35200000000,4.016816918275739
35300000000,3.988994884104856
35400000000,3.96117289775715
35500000000,3.93335099991495
35600000000,3.905529229941875
35700000000,3.877707625895548
35800000000,3.849886224526137
35900000000,3.822065061297664
36000000000,3.794244170382678
36100000000,3.766423584682488
36200000000,3.738603335820852
36300000000,3.710783454162581
36400000000,3.682963968819704
36500000000,3.655144907654578
36600000000,3.627326297288396
36700000000,3.599508163114729
36800000000,3.571690529296351
36900000000,3.543873418785273
37000000000,3.5160568533176
37100000000,3.488240853430244
37200000000,3.460425438463451
37300000000,3.432610626570345
37400000000,3.404796434718889
37500000000,3.376982878708761
37600000000,3.349169973170566
37700000000,3.32135773157138
37800000000,3.29354616623175
37900000000,3.265735288321414
38000000000,3.237925107874558
38100000000,3.210115633789478
38200000000,3.182306873841743
38300000000,3.154498834689567
38400000000,3.126691521874893
38500000000,3.098884939839917
38600000000,3.071079091923078
38700000000,3.043273980375077
38800000000,3.015469606358764
38900000000,2.987665969960182
39000000000,2.959863070190036
39100000000,2.932060904997273
39200000000,2.904259471267628
39300000000,2.876458764833656
39400000000,2.848658780483815
39500000000,2.820859511964802
39600000000,2.793060951986468
39700000000,2.765263092235726
39800000000,2.737465923370308
39900000000,2.709669435038208
40000000000,2.681873615874631
40100000000,2.654078453510047
40200000000,2.626283934578555
40300000000,2.598490044723611
40400000000,2.570696768599279
40500000000,2.542904089881334
40600000000,2.515111991270623
40700000000,2.487320454499807
40800000000,2.459529460338122
40900000000,2.431738988598472
41000000000,2.403949018141039
41100000000,2.376159526882293
41200000000,2.348370491796417
41300000000,2.320581888924754
41400000000,2.292793693377328
41500000000,2.265005879341301
41600000000,2.23721842009068
41700000000,2.209431287976875
41800000000,2.181644454453043
41900000000,2.153857890067131
42000000000,2.126071564470134
42100000000,2.098285446421686
42200000000,2.070499503796603
42300000000,2.042713703588977
42400000000,2.014928011916791
42500000000,1.987142394027922
42600000000,1.959356814305286
42700000000,1.931571236273993
42800000000,1.903785622598236
42900000000,1.875999935099482
43000000000,1.848214134749609
43100000000,1.820428181683643
43200000000,1.792642035202229
43300000000,1.764855653773496
43400000000,1.737068995041398
43500000000,1.709282015833509
43600000000,1.681494672157793
43700000000,1.65370691921674
43800000000,1.625918711404186
43900000000,1.598130002312964
44000000000,1.570340744746422
44100000000,1.542550890710123
44200000000,1.514760391427047
44300000000,1.486969197339662
44400000000,1.459177258112413
44500000000,1.431384522638613
44600000000,1.403590939043371
44700000000,1.375796454692435
44800000000,1.348001016191026
44900000000,1.320204569393105
45000000000,1.292407059403758
45100000000,1.264608430584131
45200000000,1.236808626555044
45300000000,1.209007590206017
45400000000,1.18120526369309
45500000000,1.153401588451329
45600000000,1.125596505190158
45700000000,1.09778995390407
45800000000,1.069981873879239
45900000000,1.042172203692581
46000000000,1.014360881216058
46100000000,0.9865478436262688
46200000000,0.9587330274061054
46300000000,0.9309163683491416
46400000000,0.9030978015656027
46500000000,0.8752772614817899
46600000000,0.8474546818530432
46700000000,0.8196299957625554
46800000000,0.791803135623863
46900000000,0.7639740331915407
47000000000,0.7361426195645473
47100000000,0.7083088251854254
47200000000,0.6804725798476597
47300000000,0.6526338127040157
47400000000,0.6247924522662486
47500000000,0.5969484264101389
47600000000,0.5691016623822619
47700000000,0.5412520868047004
47800000000,0.5133996256749483
