S21 dB20 X,S21 dB20 Y
10000000000,-8.427217332448992
10100000000,-8.312306368394681
10200000000,-8.1979606523551
10300000000,-8.084163093797741
10400000000,-7.970897099355684
10500000000,-7.858146556735482
10600000000,-7.745895819647855
10700000000,-7.634129693542825
10800000000,-7.522833422302466
10900000000,-7.411992675695682
11000000000,-7.301593537658894
11100000000,-7.191622495293444
11200000000,-7.082066428590821
11300000000,-6.972912600871775
11400000000,-6.864148649861137
11500000000,-6.755762579373074
11600000000,-6.647742751680038
11700000000,-6.540077880384936
11800000000,-6.432757023931122
11900000000,-6.325769579617729
12000000000,-6.219105278163793
12100000000,-6.112754178782102
12200000000,-6.006706664776026
12300000000,-5.900953439566836
12400000000,-5.795485523270437
12500000000,-5.690294249678626
12600000000,-5.585371263708171
12700000000,-5.480708519320671
12800000000,-5.376298277842436
12900000000,-5.272133106687411
13000000000,-5.168205878593048
13100000000,-5.064509771155779
13200000000,-4.961038266830466
13300000000,-4.857785153351098
13400000000,-4.754744524471776
13500000000,-4.651910781190863
13600000000,-4.549278633253097
13700000000,-4.446843101160426
13800000000,-4.344599518429587
13900000000,-4.242543534343937
14000000000,-4.140671116979647
14100000000,-4.038978556674547
14200000000,-3.937462469792423
14300000000,-3.836119802930806
14400000000,-3.734947837406079
14500000000,-3.633944194149723
14600000000,-3.533106838925467
14700000000,-3.432434087912022
14800000000,-3.331924613617537
14900000000,-3.231577451133973
15000000000,-3.131392004720114
15100000000,-3.031368054722929
15200000000,-2.931505764799433
15300000000,-2.831805689456654
15400000000,-2.732268781888822
15500000000,-2.632896402134048
15600000000,-2.533690325447205
15700000000,-2.43465275101089
15800000000,-2.335786310854722
15900000000,-2.237094079010129
16000000000,-2.138579580916059
16100000000,-2.040246802993448
16200000000,-1.942100202396542
16300000000,-1.844144716944871
16400000000,-1.746385775147355
16500000000,-1.648829306344661
16600000000,-1.551481750896859
16700000000,-1.45435007043857
16800000000,-1.357441758076752
16900000000,-1.260764848568765
17000000000,-1.164327928411567
17100000000,-1.068140145748379
17200000000,-0.9722112201344507
17300000000,-0.8765514520147177
17400000000,-0.7811717318854284
17500000000,-0.6860835491071015
17600000000,-0.5912990002489822
17700000000,-0.4968307969391115
17800000000,-0.402692273062932
17900000000,-0.3088973913687157
18000000000,-0.2154607492328117
18100000000,-0.1223975836168941
18200000000,-0.02972377503123718
18300000000,0.06254414950715204
18400000000,0.1543890146974762
18500000000,0.2457929964354407
18600000000,0.3367376226689502
18700000000,0.4272037757290363
